Symbol,Strategy,Interval,TotalTrades,WinRate,TotalReturn,MaxDrawdown,SharpeRatio,ProfitFactor,CandlesUsed,StartDate,EndDate,Parameters
UNIUSDT,"RSI_Strategy(14,70,30)",1d,12,41.67,2.85,6.31,1.83,1.27,400,2024-12-26,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":14}"
SOLUSDT,"RSI_Strategy(14,70,30)",1d,7,57.14,2.80,4.00,3.73,1.64,400,2024-12-26,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":14}"
UNIUSDT,"RSI_Strategy(21,70,30)",1d,2,50.00,2.79,4.14,6.56,3.44,400,2024-12-26,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":21}"
XRPUSDT,"SMA_Crossover(10,50)",1d,5,60.00,2.70,1.87,6.88,2.69,400,2024-12-26,2026-01-31,"{""long_period"":50,""short_period"":10}"
DOTUSDT,"RSI_Strategy(14,75,25)",1d,3,66.67,2.60,2.46,8.31,3.45,400,2024-12-26,2026-01-31,"{""overbought"":75,""oversold"":25,""period"":14}"
BNBUSDT,"SMA_Crossover(5,20)",1d,11,45.45,2.47,2.29,3.20,1.64,400,2024-12-26,2026-01-31,"{""long_period"":20,""short_period"":5}"
ETHUSDT,Confluence_Default,1d,16,37.50,2.41,4.50,1.76,1.27,400,2024-12-26,2026-01-31,"{""min_confluence"":70,""variant"":""Default""}"
BNBUSDT,Confluence_Aggressive,1d,14,50.00,2.37,3.46,2.70,1.44,400,2024-12-26,2026-01-31,"{""min_confluence"":60,""variant"":""Aggressive""}"
ETHUSDT,Adaptive(21/55),1d,14,42.86,2.15,5.63,1.83,1.28,400,2024-12-26,2026-01-31,null
SOLUSDT,Confluence_Conservative,1d,6,50.00,2.03,2.32,3.49,1.64,400,2024-12-26,2026-01-31,"{""min_confluence"":80,""variant"":""Conservative""}"
