Symbol,Strategy,Interval,TotalTrades,WinRate,TotalReturn,MaxDrawdown,SharpeRatio,ProfitFactor,CandlesUsed,StartDate,EndDate,Parameters
DOTUSDT,"RSI_Strategy(14,65,35)",1h,177,33.33,-6.66,6.66,-2.03,0.75,4400,2025-07-31,2026-01-31,"{""overbought"":65,""oversold"":35,""period"":14}"
DOTUSDT,"SMA_Crossover(10,30)",1h,135,31.11,-6.67,8.19,-3.03,0.67,4400,2025-07-31,2026-01-31,"{""long_period"":30,""short_period"":10}"
UNIUSDT,"SMA_Crossover(10,50)",1h,109,24.77,-6.70,7.54,-3.51,0.61,4400,2025-07-31,2026-01-31,"{""long_period"":50,""short_period"":10}"
SOLUSDT,"RSI_Strategy(7,70,30)",1h,219,31.96,-6.74,7.06,-1.82,0.78,4400,2025-07-31,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":7}"
DOTUSDT,Adaptive(21/55),1h,119,31.09,-7.17,9.47,-3.00,0.65,4400,2025-07-31,2026-01-31,null
ETHUSDT,"RSI_Strategy(14,65,35)",1h,173,29.48,-7.24,7.24,-2.94,0.67,4400,2025-07-31,2026-01-31,"{""overbought"":65,""oversold"":35,""period"":14}"
LINKUSDT,"SMA_Crossover(5,20)",1h,161,29.19,-7.24,9.34,-2.54,0.71,4400,2025-07-31,2026-01-31,"{""long_period"":20,""short_period"":5}"
DOGEUSDT,Adaptive(21/55),1h,117,30.77,-7.26,9.41,-3.43,0.62,4400,2025-07-31,2026-01-31,null
BNBUSDT,Confluence_Default,1h,169,30.18,-7.31,7.55,-3.38,0.62,4400,2025-07-31,2026-01-31,"{""min_confluence"":70,""variant"":""Default""}"
BNBUSDT,"RSI_Strategy(14,65,35)",1h,164,26.83,-7.34,7.34,-3.40,0.60,4400,2025-07-31,2026-01-31,"{""overbought"":65,""oversold"":35,""period"":14}"
DOGEUSDT,Confluence_Aggressive,1h,236,32.63,-7.42,9.27,-1.74,0.78,4400,2025-07-31,2026-01-31,"{""min_confluence"":60,""variant"":""Aggressive""}"
LINKUSDT,"SMA_Crossover(20,50)",1h,96,26.04,-7.45,8.22,-4.89,0.51,4400,2025-07-31,2026-01-31,"{""long_period"":50,""short_period"":20}"
ETHUSDT,"RSI_Strategy(14,70,30)",1h,121,26.45,-7.49,7.70,-4.50,0.54,4400,2025-07-31,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":14}"
ETHUSDT,"RSI_Strategy(7,70,30)",1h,213,32.86,-7.59,7.59,-2.51,0.71,4400,2025-07-31,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":7}"
UNIUSDT,"SMA_Crossover(20,50)",1h,97,25.77,-7.64,8.90,-4.20,0.53,4400,2025-07-31,2026-01-31,"{""long_period"":50,""short_period"":20}"
SOLUSDT,Confluence_Aggressive,1h,257,34.24,-7.83,10.67,-1.85,0.78,4400,2025-07-31,2026-01-31,"{""min_confluence"":60,""variant"":""Aggressive""}"
LINKUSDT,Adaptive(21/55),1h,102,28.43,-8.01,10.77,-4.40,0.54,4400,2025-07-31,2026-01-31,null
BNBUSDT,"RSI_Strategy(7,70,30)",1h,219,30.14,-8.65,8.78,-3.20,0.63,4400,2025-07-31,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":7}"
UNIUSDT,Confluence_Aggressive,1h,242,33.47,-9.03,10.78,-1.82,0.77,4400,2025-07-31,2026-01-31,"{""min_confluence"":60,""variant"":""Aggressive""}"
UNIUSDT,Confluence_Default,1h,199,32.16,-9.21,11.27,-2.27,0.72,4400,2025-07-31,2026-01-31,"{""min_confluence"":70,""variant"":""Default""}"
DOTUSDT,"RSI_Strategy(7,70,30)",1h,179,30.73,-9.26,9.26,-2.89,0.67,4400,2025-07-31,2026-01-31,"{""overbought"":70,""oversold"":30,""period"":7}"
BNBUSDT,Confluence_Aggressive,1h,254,32.68,-9.51,9.58,-3.10,0.64,4400,2025-07-31,2026-01-31,"{""min_confluence"":60,""variant"":""Aggressive""}"
XRPUSDT,Confluence_Default,1h,198,29.80,-9.67,10.92,-3.51,0.62,4400,2025-07-31,2026-01-31,"{""min_confluence"":70,""variant"":""Default""}"
SOLUSDT,Confluence_Default,1h,196,30.61,-10.00,11.14,-3.27,0.64,4400,2025-07-31,2026-01-31,"{""min_confluence"":70,""variant"":""Default""}"
SOLUSDT,"SMA_Crossover(5,20)",1h,155,24.52,-10.76,12.18,-4.70,0.53,4400,2025-07-31,2026-01-31,"{""long_period"":20,""short_period"":5}"
XRPUSDT,Confluence_Aggressive,1h,263,31.56,-10.82,12.65,-2.97,0.67,4400,2025-07-31,2026-01-31,"{""min_confluence"":60,""variant"":""Aggressive""}"
LINKUSDT,Confluence_Default,1h,199,29.15,-11.97,14.93,-3.49,0.62,4400,2025-07-31,2026-01-31,"{""min_confluence"":70,""variant"":""Default""}"
LINKUSDT,Confluence_Aggressive,1h,246,30.89,-12.28,15.38,-2.91,0.67,4400,2025-07-31,2026-01-31,"{""min_confluence"":60,""variant"":""Aggressive""}"
DOTUSDT,Confluence_Aggressive,1h,244,26.64,-14.79,16.57,-3.35,0.61,4400,2025-07-31,2026-01-31,"{""min_confluence"":60,""variant"":""Aggressive""}"
